Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
04/13/26,130.32,3249592,1.36,1.05,1.05,130.32,-26.77,127.20,130.65,125.36,-26.77
04/10/26,128.96,3572699,-0.20,-0.15,-0.15,128.96,-27.53,128.87,130.54,124.84,-27.53
04/09/26,129.16,3653657,-2.24,-1.70,-1.70,129.16,-27.42,130.45,130.96,126.80,-27.42
04/08/26,131.40,3797224,6.43,5.15,5.15,131.40,-26.16,130.99,134.26,130.49,-26.16
04/07/26,124.97,2735296,-1.84,-1.45,-1.45,124.97,-29.77,126.40,126.82,123.41,-29.77
04/06/26,126.81,2527902,1.86,1.49,1.49,126.81,-28.74,124.30,127.25,124.28,-28.74
04/02/26,124.95,3094935,-0.24,-0.19,-0.19,124.95,-29.78,122.80,126.18,121.51,-29.78
04/01/26,125.19,2926264,-1.09,-0.86,-0.86,125.19,-29.65,126.39,127.50,122.87,-29.65
03/31/26,126.28,3644160,3.18,2.58,2.58,126.28,-29.04,125.07,127.06,123.17,-29.04
03/30/26,123.10,3022691,0.23,0.19,0.19,123.10,-30.82,123.90,126.06,122.84,-30.82
03/27/26,122.87,4207196,-8.19,-6.25,-6.25,122.87,-30.95,129.22,129.92,122.46,-30.95
03/26/26,131.06,3353316,-0.75,-0.57,-0.57,131.06,-26.35,131.89,134.83,130.38,-26.35
03/25/26,131.81,2732193,1.81,1.39,1.39,131.81,-25.93,130.89,132.94,129.89,-25.93
03/24/26,130.00,3167629,-2.59,-1.95,-1.95,130.00,-26.95,132.20,132.20,128.42,-26.95
03/23/26,132.59,3568357,4.07,3.17,3.17,132.59,-25.49,130.29,134.03,129.98,-25.49
03/20/26,128.52,7047906,-2.27,-1.74,-1.74,128.52,-27.78,130.03,130.71,127.70,-27.78
03/19/26,130.79,3541679,-0.34,-0.26,-0.26,130.79,-26.50,129.95,131.40,128.76,-26.50
03/18/26,131.13,3072008,-0.82,-0.62,-0.62,131.13,-26.31,131.20,134.00,130.99,-26.31
03/17/26,131.95,2811963,3.63,2.83,2.83,131.95,-25.85,129.60,133.54,129.55,-25.85
03/16/26,128.32,3049270,2.02,1.60,1.60,128.32,-27.89,127.28,129.24,126.91,-27.89
03/13/26,126.30,3001002,-1.40,-1.10,-1.10,126.30,-29.03,127.23,129.47,125.62,-29.03
03/12/26,127.70,4474216,-5.69,-4.27,-4.27,127.70,-28.24,132.45,133.24,126.12,-28.24
03/11/26,133.39,2171821,0.95,0.72,0.72,133.39,-25.04,132.87,134.40,131.52,-25.04
03/10/26,132.44,3631402,-1.59,-1.19,-1.19,132.44,-25.57,132.81,134.58,130.08,-25.57
03/09/26,134.03,3920479,0.80,0.60,0.60,134.03,-24.68,131.43,134.30,128.37,-24.68
03/06/26,133.23,4600495,-2.62,-1.93,-1.93,133.23,-25.13,133.89,133.90,130.98,-25.13
03/05/26,135.85,5522165,0.31,0.23,0.23,135.85,-23.66,135.73,139.00,134.52,-23.66
03/04/26,135.54,4252523,2.50,1.88,1.88,135.54,-23.83,133.24,137.94,133.16,-23.83
03/03/26,133.04,4059636,-0.22,-0.17,-0.17,133.04,-25.24,131.88,134.30,129.46,-25.24
