Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
04/13/26,76.41,12656772,-1.06,-1.37,-1.37,88.69,67.05,77.32,77.45,75.83,43.93
04/10/26,77.47,11081410,-0.71,-0.91,-0.91,89.92,69.37,77.98,78.17,77.31,45.92
04/09/26,78.18,14310990,0.89,1.15,1.15,90.74,70.92,76.65,78.29,76.37,47.26
04/08/26,77.29,12331300,1.38,1.82,1.82,89.71,68.98,75.81,77.37,75.32,45.58
04/07/26,75.91,12769170,-1.31,-1.70,-1.70,88.11,65.96,77.20,77.60,75.63,42.98
04/06/26,77.22,8259893,0.50,0.65,0.65,89.63,68.82,76.64,77.28,76.22,45.45
04/02/26,76.72,14573420,0.64,0.84,0.84,89.05,67.73,76.58,76.96,76.12,44.51
04/01/26,76.08,15834260,0.03,0.04,0.04,88.31,66.33,76.15,76.36,75.26,43.30
03/31/26,76.05,18301810,-0.22,-0.29,-0.29,88.27,66.27,76.53,77.02,75.51,43.25
03/30/26,76.27,18502820,0.56,0.74,0.74,88.53,66.75,75.93,77.00,75.72,43.66
03/27/26,75.71,17461030,1.02,1.37,1.37,87.88,65.52,74.82,76.05,74.70,42.61
03/26/26,74.69,11202130,-0.56,-0.74,-0.74,86.69,63.29,75.19,75.75,74.65,40.69
03/25/26,75.25,14787910,0.58,0.78,0.78,87.34,64.52,74.59,75.65,74.07,41.74
03/24/26,74.67,15653730,-0.44,-0.59,-0.59,86.67,63.25,74.86,75.69,74.63,40.65
03/23/26,75.11,15054920,0.36,0.48,0.48,87.18,64.21,75.34,75.45,74.55,41.48
03/20/26,74.75,33298720,-0.80,-1.06,-1.06,86.76,63.42,75.57,76.05,74.39,40.80
03/19/26,75.55,13023340,-0.42,-0.55,-0.55,87.69,65.17,76.00,76.45,75.53,42.31
03/18/26,75.97,13134640,-1.61,-2.08,-2.08,88.18,66.09,77.08,77.13,75.85,43.10
03/17/26,77.58,14900070,-0.24,-0.31,-0.31,90.05,69.61,78.00,78.30,77.45,46.13
03/16/26,77.82,11761240,0.48,0.62,0.62,90.33,70.14,78.00,78.43,77.74,46.58
03/13/26,77.34,11974500,-0.27,-0.35,0.34,89.77,69.09,77.47,78.05,77.19,45.68
03/12/26,77.61,16842180,-0.02,-0.03,-0.03,89.47,68.52,77.42,78.16,76.90,46.19
03/11/26,77.63,11551200,-0.25,-0.32,-0.32,89.49,68.57,77.71,77.71,76.60,46.22
03/10/26,77.88,17243870,0.08,0.10,0.10,89.78,69.11,77.48,78.41,77.10,46.69
03/09/26,77.80,18554050,0.76,0.99,0.99,89.69,68.93,76.62,78.07,76.53,46.54
03/06/26,77.04,15516030,0.01,0.01,0.01,88.81,67.28,76.80,77.19,76.35,45.11
03/05/26,77.03,23165650,-1.07,-1.37,-1.37,88.80,67.26,77.68,77.72,76.50,45.09
03/04/26,78.10,21011850,-1.24,-1.56,-1.56,90.03,69.59,79.29,79.47,77.75,47.11
03/03/26,79.34,20549270,-0.88,-1.10,-1.10,91.46,72.28,79.86,80.08,78.56,49.44
03/02/26,80.22,18137230,-1.34,-1.64,-1.64,92.48,74.19,81.25,81.40,80.15,51.10
02/27/26,81.56,28483490,1.06,1.32,1.32,94.02,77.10,80.94,82.00,80.82,53.63
02/26/26,80.50,12843190,0.03,0.04,0.04,92.80,74.80,80.75,80.89,80.02,51.63
02/25/26,80.47,18086880,-0.25,-0.31,-0.31,92.77,74.73,80.40,80.69,79.56,51.57
02/24/26,80.72,16448500,0.16,0.20,0.20,93.05,75.27,80.54,81.09,79.85,52.04
02/23/26,80.56,17157670,0.72,0.90,0.90,92.87,74.93,79.52,80.85,79.50,51.74
02/20/26,79.84,17175100,0.93,1.18,1.18,92.04,73.36,79.33,79.84,78.89,50.39
02/19/26,78.91,14924650,-0.58,-0.73,-0.73,90.97,71.34,79.46,79.67,78.59,48.63
02/18/26,79.49,16304880,-0.07,-0.09,-0.09,91.64,72.60,79.50,79.84,78.92,49.73
02/17/26,79.56,16260200,0.88,1.12,1.12,91.72,72.76,78.99,79.64,78.74,49.86
02/13/26,78.68,16711870,-0.32,-0.41,-0.41,90.70,70.85,78.45,79.40,78.13,48.20
02/12/26,79.00,26043530,0.40,0.51,0.51,91.07,71.54,78.98,80.41,78.79,48.80
02/11/26,78.60,22649710,1.79,2.33,2.33,90.61,70.67,76.88,79.05,76.58,48.05
02/10/26,76.81,28848180,-1.16,-1.49,-1.49,88.55,66.78,76.63,77.51,76.01,44.68
