Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
04/13/26,152.64,18621340,0.13,0.09,0.09,184.93,231.96,154.27,154.62,151.28,173.99
04/10/26,152.51,21065020,-2.53,-1.63,-1.63,184.78,231.67,154.04,155.12,151.92,173.76
04/09/26,155.04,25868380,-1.18,-0.76,-0.76,187.84,237.18,156.86,159.23,154.31,178.30
04/08/26,156.22,31311200,-7.69,-4.69,-4.69,189.27,239.74,153.52,156.35,150.98,180.42
04/07/26,163.91,25227500,0.54,0.33,0.33,198.59,256.47,164.22,166.24,161.77,194.22
04/06/26,163.37,16344260,2.68,1.67,1.67,197.93,255.29,160.57,163.75,159.53,193.25
04/02/26,160.69,25377660,-0.09,-0.06,-0.06,194.69,249.46,164.49,166.90,159.59,188.44
04/01/26,160.78,37927640,-8.88,-5.23,-5.23,194.80,249.66,165.77,168.00,159.53,188.60
03/31/26,169.66,32006720,-1.81,-1.06,-1.06,205.55,268.97,172.67,174.38,165.97,204.54
03/30/26,171.47,29813500,0.48,0.28,0.28,207.75,272.91,172.51,176.41,171.05,207.79
03/27/26,170.99,30338310,5.56,3.36,3.36,207.17,271.86,165.58,171.23,164.80,206.93
03/26/26,165.43,18625250,2.17,1.33,1.33,200.43,259.77,164.09,165.68,162.06,196.95
03/25/26,163.26,17192330,-2.12,-1.28,-1.28,197.80,255.05,163.87,165.00,162.93,193.05
03/24/26,165.38,26131820,4.25,2.64,2.64,200.37,259.66,161.71,167.48,161.25,196.86
03/23/26,161.13,25021290,1.46,0.91,0.91,195.22,250.42,156.12,161.42,155.02,189.23
03/20/26,159.67,53942140,1.51,0.95,0.95,193.45,247.25,159.35,162.44,159.10,186.61
03/19/26,158.16,27082730,0.57,0.36,0.36,191.62,243.96,158.26,159.56,154.84,183.90
03/18/26,157.59,18947140,-1.22,-0.77,-0.77,190.93,242.72,159.66,160.18,157.53,182.88
03/17/26,158.81,21592170,1.58,1.00,1.00,192.41,245.38,158.25,160.45,156.80,185.07
03/16/26,157.23,22835630,1.11,0.71,0.71,190.49,241.94,156.00,157.78,154.76,182.23
03/13/26,156.12,22414090,2.59,1.69,1.69,189.15,239.53,154.30,156.89,152.98,180.24
03/12/26,153.53,26053970,1.95,1.29,1.29,186.01,233.89,152.27,155.00,151.63,175.59
