Date,Price,CVol,Change,% Change,% Return,Total Return (Gross),Cumulative Return %,Open,High,Low,Cumulative Change %
04/13/26,313.68,8295617,3.81,1.23,1.23,356.10,131.10,307.47,313.74,305.46,103.57
04/10/26,309.87,6069693,-0.46,-0.15,-0.15,351.77,128.29,310.00,310.35,306.72,101.10
04/09/26,310.33,6586601,2.36,0.77,0.77,352.30,128.63,306.95,311.26,306.11,101.40
04/08/26,307.97,10590170,10.57,3.55,3.55,349.62,126.89,307.97,311.26,305.33,99.86
04/07/26,297.40,7849083,1.95,0.66,0.66,337.62,119.10,293.14,298.18,292.70,93.00
04/06/26,295.45,7142621,0.85,0.29,0.80,335.40,117.67,294.06,296.83,293.20,91.74
04/02/26,294.60,6669252,-0.78,-0.26,-0.26,332.75,115.94,291.91,295.62,288.72,91.19
04/01/26,295.38,11267170,1.22,0.41,0.41,333.63,116.52,295.39,298.72,292.91,91.69
03/31/26,294.16,12956880,10.39,3.66,3.66,332.25,115.62,288.47,295.07,284.95,90.90
03/30/26,283.77,11734350,0.93,0.33,0.33,320.52,108.01,284.74,287.25,282.33,84.16
03/27/26,282.84,9873292,-8.82,-3.02,-3.02,319.47,107.32,289.14,290.11,281.75,83.56
03/26/26,291.66,8669196,-3.76,-1.27,-1.27,329.43,113.79,292.58,294.99,290.73,89.28
03/25/26,295.42,12188160,3.02,1.03,1.03,333.68,116.55,294.15,297.64,292.44,91.72
03/24/26,292.40,11092330,2.49,0.86,0.86,330.26,114.33,286.17,295.48,285.37,89.76
03/23/26,289.91,11470840,3.35,1.17,1.17,327.45,112.51,294.31,295.75,287.97,88.14
03/20/26,286.56,22436490,-1.41,-0.49,-0.49,323.67,110.05,288.08,290.71,285.27,85.97
03/19/26,287.97,9846696,0.23,0.08,0.08,325.26,111.08,286.88,289.51,284.62,86.88
03/18/26,287.74,10057040,0.85,0.30,0.30,325.00,110.92,286.83,289.41,285.12,86.74
03/17/26,286.89,8961193,0.73,0.26,0.26,324.04,110.29,289.00,291.76,285.95,86.18
03/16/26,286.16,8149008,2.72,0.96,0.96,323.22,109.76,286.34,289.27,284.61,85.71
03/13/26,283.44,9091183,0.55,0.19,0.19,320.14,107.76,284.67,287.19,282.95,83.94
03/12/26,282.89,13760510,-4.63,-1.61,-1.61,319.52,107.36,282.83,283.88,279.10,83.59
03/11/26,287.52,10204990,-1.21,-0.42,-0.42,324.75,110.75,288.81,290.48,284.86,86.59
03/10/26,288.73,8344876,-1.19,-0.41,-0.41,326.12,111.64,289.29,292.75,287.18,87.38
03/09/26,289.92,12241050,0.44,0.15,0.15,327.46,112.51,285.50,291.10,280.45,88.15
03/06/26,289.48,13496530,-4.07,-1.39,-1.39,326.97,112.19,286.34,289.99,283.71,87.86
03/05/26,293.55,12732490,-5.84,-1.95,-1.95,331.56,115.17,297.98,301.24,292.43,90.51
03/04/26,299.39,8055673,-0.87,-0.29,-0.29,338.16,119.46,299.99,301.00,295.82,94.30
