Date,ABNB,TSLA,F,ZM,INTC,SP500
4/13/2021,177.95,254.1064,12.2,342.75,65.22,4141.593759
4/14/2021,176.43,244.0764,12.24,329.2,64.19,4124.66063
4/15/2021,175.35,246.28307,12.24,332.38,65.02,4170.42279
4/16/2021,178.69,246.59308,12.23,329.95,64.75,4185.468711
4/19/2021,174.58,238.20975,12.11,324.33,63.63,4163.258095
4/20/2021,169.57,239.66309,11.45,321.78,62.7,4134.939425
4/21/2021,167.07,248.03973,11.73,322.76,63.7,4173.421559
4/22/2021,170.71,239.89642,11.94,328.32,62.57,4134.981665
4/23/2021,174.25,243.13309,12.22,336.88,59.24,4180.167376
4/26/2021,174.88,246.06644,12.27,336.42,58.76,4187.61747
4/27/2021,177.94,234.91309,12.49,333.49,57.97,4186.718222
4/28/2021,180,231.46643,12.43,331.25,57.62,4183.183002
4/29/2021,177.68,225.66643,11.26,321.1,58.28,4211.474874
4/30/2021,172.71,236.47978,11.54,319.57,57.53,4181.174895
5/3/2021,168.11,228.29977,11.63,313.92,57.26,4192.657608
5/4/2021,168.9,224.5331,11.41,304.85,56.9,4164.659037
5/5/2021,162.33,223.64644,11.61,297.59,56.85,4167.587767
5/6/2021,153.64,221.17976,11.74,293.05,57.19,4201.61878
5/7/2021,151.21,224.1231,11.82,295.24,57.67,4232.601378
5/10/2021,146.73,209.67978,11.71,288.49,55.97,4188.42735
5/11/2021,142.73,205.73312,11.58,300.25,55.04,4152.095308
5/12/2021,140.25,196.6298,11.33,289.7,53.62,4063.03788
5/13/2021,135.75,190.56314,11.55,290.16,54.01,4112.496014
5/14/2021,141.2,196.57979,11.84,307.89,55.35,4173.854094
5/17/2021,132.5,192.27647,12.15,308.93,55.33,4163.290455
5/18/2021,135.02,192.62312,12.14,312.86,54.84,4127.829825
5/19/2021,138.19,187.81981,12.11,310.46,55.36,4115.676785
5/20/2021,136.2,195.59314,12.49,324.71,55.95,4159.124418
5/21/2021,134.71,193.62646,13.33,316.4,56.08,4155.857812
5/24/2021,135.91,202.14645,13.06,321.56,56.96,4197.047252
5/25/2021,133.99,201.56313,12.81,321.28,56.87,4188.134113
5/26/2021,134.75,206.37645,13.9,326.05,56.92,4195.993634
5/27/2021,143.17,210.28311,14.88,326.43,57.73,4200.875802
5/28/2021,140.4,208.40643,14.53,331.53,57.12,4204.110546
6/1/2021,144.31,207.96646,14.81,327.72,56.89,4202.041609
6/2/2021,151,201.70645,14.91,327.11,57.48,4208.11922
6/3/2021,144.19,190.9465,15.99,319.01,56.24,4192.854814
6/4/2021,150.73,199.68312,15.97,336,57.37,4229.890604
6/7/2021,148.97,201.7098,15.88,342.66,57.09,4226.520178
6/8/2021,147.01,201.19649,15.63,341.26,57,4227.255004
6/9/2021,144.85,199.59314,15.48,333.63,57,4219.546831
6/10/2021,146.12,203.37312,15.11,346.5,57.38,4239.184154
